word,frequency,percentage

र,2479605,1.8359226174837247

छ,2392869,1.7717024759087285

पनि,1459795,1.0808458030168733

छन्,975357,0.7221633995822211

भएको,842027,0.6234446267982071

भने,805632,0.5964974301022333

गरेको,741819,0.5492496910512599

हो,733629,0.5431857388341964

लागि,673073,0.4983495128932322

गर्न,660861,0.4893076344469832

गर्ने,610406,0.451950282907064

थियो,545757,0.40408356167618037

तथा,490442,0.36312782090855317

उनले,485397,0.35939245595921426

यो,406405,0.30090604405075533

नै,403165,0.29850711789895

हुने,402936,0.2983375641678502

तर,381932,0.2827860071022578

बताए,377153,0.27924759102834495

थिए,376963,0.2791069132601835

एक,363937,0.2694623416387587

गरेका,359040,0.26583655726672456

रहेको,323768,0.23972084022151535

सय,291747,0.21601219383047873

गरी,281366,0.2083260048237222

नेपाल,275729,0.20415231756516458

छैन,274617,0.2033289824167672

१,272563,0.2018081817020116

हजार,271993,0.20138614839752733

काम,266651,0.19743088188427296

गरिएको,260526,0.19289587488433232

भन्ने,250764,0.1856679992380596

केही,249364,0.18463142620950174

नेपाली,239212,0.17711479093384502

हुन,237555,0.17588793271361616

गर्दै,234268,0.17345420732442354

रूपमा,231053,0.17107379140527101

भएका,230785,0.1708753617112328

हुन्छ,218071,0.1614617977933152

कारण,217450,0.16100200361421918

२,216725,0.16046520686728744

दुई,208053,0.1540443773646776

लाख,204700,0.1515617849612815

मात्र,203738,0.15084951120880105

बढी,202735,0.15010688067476996

हुन्,198814,0.14720373578550183

भए,195785,0.14496103599728627

कुनै,192107,0.14223781056940357

अध्यक्ष,189451,0.14027128345236808

सबै,188966,0.1399121849389034

अहिले,188809,0.13979594067784368

आएको,188693,0.1397100531983346

विकास,185536,0.13737258101893662

दिन,184981,0.13696165385404405

त,184967,0.13695128812375848

मा,184415,0.13654258218678422

आफ्नो,183028,0.13551563447920584

जानकारी,181123,0.13410515475106102

नयाँ,180840,0.13389561891743113

गरे,180594,0.13371347822812737

५,176061,0.13035720284351826

३,175361,0.12983891632923933

जिल्ला,175318,0.12980707872907646

गरेर,173640,0.12856467191341925

संविधान,170077,0.1259265935557395

आर्थिक,168039,0.1244176393898817

निर्माण,167704,0.12416960227233394

राजनीतिक,167141,0.12375275183299245

सरकारले,166997,0.12364613289291221

अनुसार,163263,0.12088144454388718

को,162013,0.11995593291124623

प्रमुख,159774,0.11829815647485976

वर्ष,156472,0.11585332494607543

६,156455,0.11584073798787152

धेरै,153172,0.11340997423590334

कुरा,150870,0.11170555201323176

काठमाडौं,149163,0.11044167332769729

४,148567,0.11000038938125409

प्रकाशित,148424,0.10989451085047997

समेत,147292,0.10905636751596032

भन्दै,139788,0.10350033608289018

१०,139167,0.10304054190379416

विभिन्न,139098,0.10298945366167238

करोड,138389,0.10246450346363843

वा,137868,0.10207875021515368

उनको,137560,0.10185070414887096

प्रहरी,136667,0.10118951863851226

राष्ट्रिय,135976,0.10067789580798835

क्षेत्रमा,135138,0.10005743280946586

गर्दा,134742,0.09976423072424521

त्यो,133195,0.09861881752768878

उनी,133035,0.09850035203871073

स्थानीय,132368,0.09800649903153352

प्रतिशत,132299,0.09795541078941174

अन्य,131986,0.09772366267659845

समस्या,131302,0.09721722271121733

यस,129715,0.09604219314241637

रुपैयाँ,126127,0.0933856045520838

तीन,125480,0.09290655973102885

दिएको,125098,0.09262372337609377

दिने,123528,0.09146128076549674

सुरु,123046,0.0911044034799504

पहिलो,121282,0.08979832146396749

रहेका,120560,0.08926374594495408

भयो,119437,0.08843226629418945

के,118519,0.08775257055117794

व्यवस्था,115866,0.0857882646620608

उक्त,115758,0.08570830045700062

एउटा,115645,0.08562463420540987

सहयोग,114527,0.08479685660117581

दिए,113474,0.08401720560183908

जनाएको,112408,0.08322792928152288

माग,112398,0.08322052518846175

भएकाले,112339,0.0831768410394011

आएका,110369,0.08171823470635896

जारी,109157,0.0808208586273503

होइन,109101,0.08077939570620798

ठूलो,107946,0.07992422295764776

८,107569,0.07964508864924325

७,106538,0.078881726654641

घर,105108,0.07782294134689974

निर्णय,104129,0.07709808063621536

यस्तो,103775,0.07683597574185144

रकम,102886,0.0761777518687172

भनेर,102696,0.07603707410055577

अब,101955,0.07548843080472623

गत,101260,0.07497384633697786

सञ्चालन,100410,0.07434449842678201

नेपालमा,99366,0.07357151111120029

लगानी,98860,0.07319686400230724

सेवा,98380,0.07284146753537311

समय,98274,0.07276298414892515

आवश्यक,98155,0.07267487544149774

अवस्था,97802,0.07241351095643994

उत्पादन,96866,0.07172048784591839

नेपालको,96795,0.07166791878518439

हामी,96745,0.07163089831987875

कार्यक्रम,96484,0.07143765149098333

अवस्थामा,94475,0.06995016919500278

विषयमा,94426,0.06991388913900326

प्रयोग,94418,0.06990796586455436

१५,94172,0.06972582517525062

२०,93494,0.06922382766570617

म,92509,0.06849452449918511

सहमति,91926,0.06806286587372137

प्रधानमन्त्री,91252,0.06756383000140137

अघि,90963,0.06734985171193479

मात्रै,90900,0.06730320592564969

कार्यालय,90081,0.06669681070394333

१२,89786,0.06647838995864007

प्रहरीले,89485,0.06625552675750013

सरकार,89404,0.06619555360370499

भारतीय,89289,0.06611040653350203

जना,88805,0.06575204842934346

९,88669,0.06565135276371212

सार्वजनिक,88521,0.06554177218640743

गते,88172,0.06528336933857408

गएको,86812,0.06427641268226073

बनाउन,86421,0.06398691264357063

