word,freq
#को,10043
#मा,5480
#का,5333
#ले,4685
#लाई,3026
#बाट,1071
#े,893
#हरू,669
#समेत,553
#ै,515
न#,406
#लगायत,387
#र,367
#पछि,362
#्,350
#ी,280
#सँग,269
#न्,253
#ँ,250
#ु,240
#सहित,223
#ा,201
#सम्म,197
#हरु,184
#s,178
#ं,169
#ता,164
#हरूको,151
#भन्दा,147
#मध्ये,142
#छ,141
#देखि,140
#पर्ने,135
#पर्छ,130
#्स,120
#ुपर्ने,119
#कै,111
#सँगै,107
#मार्फत,103
#स्थित,101
अ#,98
#सम्बन्धी,94
#लगायतका,93
#हरूले,93
#र्फत,88
#न,87
उप#,86
#अनुसार,86
महा#,86
#जस्ता,85
त्#,84
#बीच,82
पूर्व#,81
२#,81
#ुपर्छ,77
#ि,73
#बारे,70
#थि,65
#काले,64
#अन्तर्गत,63
#की,63
#मै,59
जन#,59
#ः,58
#हरूलाई,57
एक#,54
सह#,50
#्छ,49
##,48
#माथि,45
#्ग,45
#क,44
#मात्र,42
#ित,41
न#े,41
#तर्फ,41
#हरुको,40
#िङ,40
ए#,39
#ीय,37
#विरुद्ध,36
#प्रसाद,36
#भित्र,36
#हरूमा,35
#सहितको,35
#पूर्ण,35
#ल,33
#ताको,32
राज#,32
प्रति#,32
न#को,32
#द्वय,31
#जन्य,31
#हरुले,30
दुई#,29
#परेको,29
#्न,28
घर#,28
#युक्त,28
#खोला,27
आ#,26
प्रधान#,25
#कुमार,25
#द्वारा,24
#ेछ,24
#प्रति,24
#बहादुर,24
वि#,24
परि#,24
#बापत,23
#एको,23
#रूपमा,23
#नन्,23
उच्च#,23
तीन#,23
#ौं,23
#्र,23
#ो,22
#य,22
#छन्,22
आम#,22
#सम्मको,22
#िक,22
#ँग,21
#ाको,21
#्छन्,21
#त्र,21
#ीको,20
चार#,20
#ताका,20
#ed,19
मध्य#,19
#हरुलाई,18
अर्ध#,18
#ाका,18
#साथ,18
त्यस#,18
संविधान#,18
आइ#,18
#मन्त्री,17
#पत्र,17
#्य,17
#ेको,17
#सिंह,17
मानव#,16
दुः#,16
पाँच#,16
#ने,16
त्रि#,16
#िको,16
लोक#,15
सेवा#,15
#जस्तै,15
नि#,15
#वादी,15
#्ड,15
#ात्मक,15
सु#,15
नयाँ#,14
बाल#,14
#तिर,14
#ामा,14
इ#,14
सं#,14
मूल#,14
#रुपमा,14
#री,14
भू#,14
#पनि,14
#स,14
गरि#,14
#त,14
यस#,13
मूल्य#,13
सुदूर#,13
राज्य#,13
#ँदै,13
#्ने,13
#्ट,13
नव#,13
#बीचको,13
कार्य#,13
प्र#,13
बहु#,13
#पन,12
#तापूर्वक,12
#d,12
मोटर#,12
पुनर्#,12
ट्रे#,12
#काठमाडौं,12
गैर#,12
#ालाई,12
#िका,12
गोल#,12
#मूलक,12
#्को,12
#मुक्त,12
#बाटै,11
सवारी#,11
#ासमेत,11
#्त,11
#कार,11
#देवी,11
#ीमा,11
धर्म#,11
सेमि#,11
पुर्‍#,11
#लगायतले,11
विश्व#,11
#ह,11
#सँगको,11
ना#,11
#स्वरूप,11
स#,11
वर्ष#,11
बे#,11
#ाले,11
#स्थल,11
#कारी,10
#राज,10
१#,10
उत्तर#,10
#रोग,10
#ing,10
#नका,10
कु#,10
#बाहेक,10
आय#,10
स्व#,10
मु#,10
#ए,10
#पालन,10
किलो#,10
#ँको,10
#म,10
तेस्रो#,10
उ#,10
स्मार्ट#,9
पुनः#,9
#्सको,9
#अघि,9
हुन#,9
#वाद,9
एन#,9
#ीकरण,9
बन्द#,9
#ण,9
#सक्ने,9
उपमहा#,9
भए#,9
समाज#,9
बा#,8
डि#,8
#तामा,8
#ँदा,8
#ना,8
#गत,8
हात#,8
#रत,8
गृह#,8
पो#,8
आत्म#,8
पशु#,8
को#,8
रहि#,8
भूकम्प#,8
सब#,8
सुरक्षा#,8
#ली,8
वन#,8
#कुमारी,8
कालो#,8
#सचिव,8
#ग,8
#विरुद्धको,8
#ुका,8
डी#,8
सम#,8
पु¥#,8
सडक#,8
अन्तर#,8
आठ#,8
#हरुमा,8
#स्,7
०#,7
#शमशेर,7
इन्टर#,7
#कन,7
#्दै,7
#भएको,7
भइ#,7
#i,7
गरे#,7
थ्री#,7
#तालाई,7
#विहीन,7
#बमोजिम,7
#अनुरूप,7
#मात्रै,7
उप#मा,7
माइक्रो#,7
#सभा,7
#विपरीत,7
गर्#,7
अर्थ#,7
#िमा,7
#ज,7
श्री#,7
#नमा,7
#ुपरेको,7
#ाहरु,7
#ीका,7
अभि#,7
#ंको,7
#ीन,7
#्सका,7
जात#,7
सात#,7
उतार#,7
#ँगको,7
#लमा,7
#गरी,7
#थ्यो,7
#दर,7
शान्ति#,7
#ेर,7
#धारी,7
हुन्#,6
हजुर#,6
#भयो,6
#लगायतको,6
#घाट,6
यौन#,6
गाउँ#,6
मन#,6
सय#,6
क्वाटर#,6
#दिन,6
#्छु,6
९#०,6
#जति,6
#ई,6
#क्षेत्र,6
सुपर#,6
#ाउने,6
टे्र#,6
शक्ति#,6
#दार,6
#रले,6
सञ्चार#,6
#्का,6
#नको,6
वेस्ट#,6
देवी#,6
आफू#,6
जीवन#,6
#m,6
अटो#,6
र्#,6
#कर्मी,6
#्थ्यो,6
#०,6
#मगर,6
#शक्ति,6
अन#,6
रेड#,6
बु#,6
टेलि#,6
#ेज,6
#बजार,6
जल#,6
#ू,6
पूर्ण#,6
#्ले,6
#खेती,6
गाई#,6
ँ#,6
महिना#,6
#अन्तर्गतका,6
#जस्तो,6
#कर्ता,6
कृषि#,6
गर्न#,6
हाइड्रो#,6
#न्छ,5
सर्व#,5
अति#,5
#िने,5
संघ#,5
सी#,5
दु#,5
#पति,5
काम#,5
#त्रै,5
सुन#,5
अस्ट्रे#,5
नवल#,5
बजार#,5
एस#,5
पुर्‍या#,5
निजी#,5
#ला,5
#al,5
#विद,5
न#का,5
#तर्फको,5
#रहेका,5
#गृह,5
#्मा,5
#ीलाई,5
#n,5
सम्बन्ध#,5
#पूर्वक,5
रण#,5
#ुपर्नेमा,5
#््,5
#िले,5
खल#,5
शेयर#,5
परा#,5
लै#,5
#हुन्छ,5
#करण,5
दुर्#,5
अन्तर्#,5
#िस्ट,5
हाइ#,5
#इ,5
नन#,5
#भरि,5
#्सले,5
#वस्तु,5
#ीले,5
पुर्#,5
#डाँडा,5
#्हरू,5
राष्ट्र#,5
#अन्तर्गतको,5
#ौँ,5
राना#,5
तेश्रो#,5
ज्ञान#,5
#ड,5
#कप,5
#िलो,5
#इन,5
बि#,5
#पुल,5
#ौ,5
